Country,IsLDC2014,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,predLDC,Population2012
Lithuania,0,-1.794592776,-0.300331982,-0.114654005,-0.119891664,0.002230854,-0.225860945,-0.013989111,3027621
Luxembourg,0,-1.774395425,-0.98058011,-2.20142831,-0.503736841,0.235988654,-1.181659127,-0.015836518,523744
"China, Macao Special Administrative Region",0,-0.640883652,-0.506348444,-0.295970527,-1.156805404,-0.014697904,-1.425314019,0.187994719,556783
Madagascar,1,3.944346205,-0.114844529,-0.24308256,-1.633891696,0.225664668,0.416987233,0.791937895,22293914
Malawi,1,3.42158958,-0.754592493,0.65445139,2.204844444,0.073192401,0.069736821,0.562845508,15906483
Malaysia,0,-1.655109853,0.152509493,-0.174073129,0.084295229,-0.108152642,-0.458560683,-0.018427093,29239927
Maldives,0,-1.366258113,-0.363376222,-0.336686871,-1.615586281,-0.146068233,-0.511471427,0.114014696,338442
Mali,1,4.298562955,-0.897020231,0.591827488,0.009942313,-0.029356118,-0.19348173,0.788809012,14853572
Malta,0,-1.878652892,-0.419504236,0.0209586,0.363954518,-0.068865016,0.119558278,-0.04384052,427764
Martinique,0,-0.400249892,-0.528180551,-0.136268363,-0.651280114,0.085956509,-0.647600074,0.196824763,0
Mauritania,1,3.025145197,-1.038230834,0.333021431,-1.764757829,0.112482323,-0.504059306,0.713853489,3796141
Mauritius,0,-1.699093372,-0.512141762,-0.130536817,-0.545789921,-0.090742395,-0.794287259,0.02461343,1239557
Mexico,0,-1.73289981,1.287681463,-0.165179772,1.1405225,0.038490317,0.029810722,-0.108937272,120847477
Monaco,0,-1.389526609,-0.520005037,-0.024556097,-0.057355554,0.149186956,-0.13532255,0.041783059,37579
Mongolia,0,-0.135818184,-0.580244082,0.09817005,-1.524070959,0.164213332,0.360973942,0.280749569,2796484
Republic of Moldova,0,-1.505833587,-0.457966877,-0.071308175,-0.501394719,-0.063296131,-0.351243638,0.046994382,3514381
Montenegro,0,-2.01631556,-0.465006333,-0.091219852,-0.307417417,-0.117625793,-0.389036264,-0.028529601,621081
Montserrat,0,-0.103062193,-0.560009776,-0.025092501,-0.236413445,-0.071811759,-0.224851263,0.216809808,5046
Morocco,0,-0.528745183,-0.067704716,-0.161856956,-1.306743563,-0.017548345,-0.649560155,0.202068792,32521143
Mozambique,1,6.061796502,-0.600332571,0.708961789,2.258966008,0.217640553,-0.214957772,0.896093912,25203395
Oman,0,-0.850698506,-0.474359308,0.029457437,-0.123443206,-0.240974251,-0.290351494,0.11419171,3314001
Namibia,0,0.429060839,-0.415819173,0.344529147,1.6515102,-0.316313899,-0.339908823,0.193008357,2259393
Nauru,0,-0.66121044,-0.704949204,0.12101783,-0.217330923,0.044894193,-0.038850294,0.150533805,10032
Nepal,1,0.952948675,0.208916972,-0.461964006,-1.727582926,-0.21779553,-0.494054279,0.40105355,27474377
Netherlands,0,-2.128523715,-0.004320693,-0.208812566,-0.074620345,0.090246656,-0.303228394,-0.068007491,16714018
Netherlands Antilles,0,-0.185572871,-0.299473113,-0.13067051,-0.360916596,0.015958272,-0.330459495,0.204274885,218342
Aruba,0,-0.861493271,-0.481667349,-0.097721817,-0.286366455,0.078009936,-0.284496709,0.11879399,102384
New Caledonia,0,0.347318609,0.19567171,0.745554335,-0.027889959,0.032377845,-0.337469526,0.260762559,253155
Vanuatu,1,-0.631434837,-0.543386988,-0.013621429,-0.334993172,-0.20446101,-0.178899828,0.153861926,247262
New Zealand,0,-2.159263604,-0.133955178,-1.033025921,1.466136111,0.322360761,0.574007565,-0.162831792,4459852
Nicaragua,0,0.702547744,-0.822505987,0.594251688,1.379934062,0.685402826,0.208759457,0.256389805,5991733
Niger,1,5.053374931,-0.813411162,0.486778765,-0.651454685,-0.17976136,-0.310010824,0.915131907,17157042
Nigeria,0,6.067352228,1.757309377,-0.827734975,1.488079709,-0.451165632,-0.741154658,0.849914217,168833776
Niue,0,-1.894807875,-0.381053366,-0.003321099,0.50386803,0.055176784,0.554198886,-0.054393302,0
Norway,0,-2.243538259,0.037745014,0.442305673,0.160975184,0.069416011,-0.01893795,-0.083176135,4993875
Northern Mariana Islands,0,-0.582524239,-0.290311243,0.214185542,0.43729215,0.069196715,0.340540615,0.119312046,0
"Micronesia, Federated States of",0,-0.282325315,-0.555159107,0.13406204,0.466753027,-0.225907642,0.156575457,0.161114677,103395
Marshall Islands,0,-0.691741768,-0.499119531,-0.035358496,-0.146047659,-0.196228607,-0.31741113,0.135070105,52555
Palau,0,-1.243654053,-0.460308876,-0.036901627,0.061477515,-0.11471965,-0.17164331,0.052802253,20754
Pakistan,0,2.133633079,2.191775006,-1.684680229,-2.693627923,-0.500273712,-0.944567313,0.530499362,179160111
Panama,0,-1.372737097,-0.68293451,0.197172699,0.225749693,-0.169381638,-0.145750811,0.037748598,3802281
Papua New Guinea,0,2.133219062,-0.371528051,-0.061996887,-0.479530557,-0.421357154,-0.396384825,0.510742387,7167010
Paraguay,0,-1.062154898,-0.697036668,0.192773495,-0.013778301,0.56134885,0.967714382,0.08998058,6687361
Peru,0,-0.830702885,-0.111722627,0.15593741,0.265139181,-0.157041759,-0.370235014,0.090815692,29987800
Philippines,0,-0.162936069,1.015687226,-0.794555479,-0.992699804,-0.270289017,-0.406271241,0.194971268,96706764
Poland,0,-1.684543863,0.058370281,-2.198708088,0.275947902,0.290236265,-0.239313812,-0.068641502,38210924
Portugal,0,-1.707780056,-0.685552686,-1.967599208,1.024079637,0.13034972,0.430401473,-0.087308572,10603804
Guinea-Bissau,1,4.445308171,-1.121446685,0.570819203,-0.421310126,-0.345283054,-0.196832611,0.834458924,1663558
Timor-Leste,1,2.306043687,-0.289058816,-0.245535401,-0.67573961,-0.432672394,-0.728792018,0.537350892,1114106
Puerto Rico,0,-0.751245325,-0.485587394,-0.117758272,-0.519467513,0.095498588,-0.387693204,0.144460681,3694237
Qatar,0,-1.920956422,-0.416771191,-0.095130366,-0.261677769,0.008479959,-0.461347996,-0.0198469,2050514
Reunion,0,-0.408889863,-0.538012375,0.042000488,-0.070377979,0.015995856,0.039501536,0.169931715,0
Romania,0,-1.697516754,0.058264812,0.008974838,1.247863503,-0.145154587,-0.299524835,-0.077081107,21754741
Russian Federation,0,-1.483978415,3.473891611,0.97851309,1.167368624,0.334547963,0.036996981,-0.108649771,143169653
Rwanda,1,2.31294338,-0.753141794,0.29358955,0.398060153,-0.233962824,-0.470506495,0.505273219,11457801
Saint Helena,0,-0.019523006,-0.303009619,-0.030191306,-0.317083146,0.004948789,-0.312537586,0.225368902,0
Saint Kitts and Nevis,0,-1.32436507,-0.441747005,0.254523111,1.317476195,-0.239194224,1.037981755,-0.016062949,53584
Anguilla,0,-0.826820849,-0.470533635,-0.089075581,-0.350060305,0.059421796,-0.190722319,0.126370475,14132
Saint Lucia,0,-1.893247097,-0.772021448,0.156511866,-0.132381974,-0.124562686,-0.154363187,-0.0095065,180870
Saint Pierre and Miquelon,0,-0.137772809,-0.412065253,0.120955821,0.035966589,0.044880699,0.02338269,0.197820754,0
